LEP_family,LEP_genus,LEP_species,LEP_genusspecies,HOST_family,HOST_genus,Reference
Hesperiidae,Achalarus,casica,Achalarus casica,Fabaceae,Desmodium,https://www.utep.edu/leb/chklist/butterfly/crossref.htm
Hesperiidae,Achalarus,jalapus,Achalarus jalapus,Fabaceae,Pithecellobium,"Janzen, D. H., Sharkey, M. J., & Burns, J. M. (1998). Parasitization biology of a new species of Braconidae (Hymenoptera) feeding on larvae of Costa Rican dry forest skippers (Lepidoptera: Hesperiidae: Pyrginae)."
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Amorpha,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Baptisia,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Desmodium,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Hedysarum,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Indigofera,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,lyciades,Achalarus lyciades,Fabaceae,Lespedeza,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achalarus,tehuacana,Achalarus tehuacana,NA,NA,
Hesperiidae,Achalarus,toxeus,Achalarus toxeus,Fabaceae,Pithecellobium,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achlyodes,thraso,Achlyodes thraso,Rutaceae,Citrus,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Achlyodes,thraso,Achlyodes thraso,Rutaceae,Zanthoxylum,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Adopaeoides,prittwitzi,Adopaeoides prittwitzi,Poaceae,Paspalum,https://www.butterfliesandmoths.org/species/Adopaeoides-prittwitzi
Hesperiidae,Agathymus,aryxna,Agathymus aryxna,Agavaceae,Agave,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Aguna,asander,Aguna asander,Fabaceae,Bauhinia,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Aguna,metophis,Aguna metophis,Fabaceae,Bauhinia,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Amblyscirtes,aenus,Amblyscirtes aenus,Poaceae,Chasmanthium,https://www.nhm.ac.uk/our-science/data/hostplants/
Hesperiidae,Amblyscirtes,aesculapius,Amblyscirtes aesculapius,Poaceae,Arundinaria,https://www.nhm.ac.uk/our-science/data/hostplants/
