Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Achalarus	casica	Hesperiidae	Pyrginae	yes	natural 	G4							cryptic	yes				nectar	38	51	44.5	cryptic
Achalarus	jalapus	Hesperiidae	Pyrginae	yes	Natural	G4							cryptic	no			July, Sept-Oct	nectar	42	50	46.0	cryptic
Achalarus	lyciades	Hesperiidae	Pyrginae	yes	both	G5	larva	2	2	1	1	singly	aposematic	yes		June-Aug	April-Sept	nectar	45	49	47.0	aposematic
Achalarus	tehuacana	Hesperiidae	Pyrginae	yes															41	43	42.0	cryptic
Achalarus	toxeus	Hesperiidae	Pyrginae	yes	natural	G5						singly	cryptic	no		Dec-Jan	Feb-Nov	nectar	42	50	46.0	cryptic
Achlyodes	thraso	Hesperiidae	Pyrginae	yes	natural	G4						singly	cryptic	no					35	45	40.0	cryptic
Adelpha	basiloides	Nymphalidae	Limenitidinae	yes	natural	G4							cryptic	no		Dec-Feb	Mar-Nov	dung, rotting fruit	57	67	62.0	aposematic
Adelpha	bredowii	Nymphalidae	Limenitidinae	yes	natural	G5	larva						cryptic	yes		Nov-Feb	Mar-Oct	nectar, mud	63	102	82.5	aposematic
Adelpha	fessonia	Nymphalidae	Limenitidinae	yes	natural	G4						singly				Nov-Feb	Mar-Oct	nectar, rotting fruit	56	70	63.0	aposematic
Adopaeoides	prittwitzi	Hesperiidae	Hesperiinae	yes	natural	G3							aposematic	no		Nov-Apr	May-Oct	nectar	22	25	23.5	aposematic
Agathymus	aryxna	Hesperiidae	Megathyminae	yes	natural	G4	larva					singly	aposematic	no		Dec-Jul	Aug-Nov	mud	50	61	55.5	cryptic
Agraulis	vanillae	Nymphalidae	Heliconiinae	yes	natural	G5	adult						aposematic	yes		December	Jan-Nov	nectar	63	95	79.0	aposematic
Agriades	cassiope	Lycaenidae	Polyommatinae																			cryptic
Agriades	glandon	Lycaenidae	Polyommatinae																17	23	20.0	aposematic
Aguna	asander	Hesperiidae	Pyrginae	yes	natural	G5							aposematic	no		Dec-Jan	Feb-Nov	nectar	38	56	47.0	cryptic
Aguna	metophis	Hesperiidae	Pyrginae	yes	natural	G5							aposematic	no		Dec-Jul	Aug-Nov	nectar	37	48	42.5	cryptic
Amblyscirtes	aenus	Hesperiidae	Hesperiinae	yes	natural	G4	larva	2	2	1	1		cryptic	yes		August-March	April-July	nectar	25	32	28.5	cryptic
Amblyscirtes	aesculapius	Hesperiidae	Hesperiinae	yes	natural	G4					2		aposematic	no		October-Feb	March-September	nectar	30	38	34.0	cryptic
Amblyscirtes	alternata	Hesperiidae	Hesperiinae	yes	natural 	G3							aposematic	no		November-Mar	April-October	nectar	22	25	23.5	cryptic
Amblyscirtes	belli	Hesperiidae	Hesperiinae	yes	anthropogenic	G4	chrysalis				3		aposematic	no		October-March	April-September	nectar	30	32	31.0	cryptic
Amblyscirtes	carolina	Hesperiidae	Hesperiinae	yes	natural 	G4					3		cryptic	no		October-March	April-September	nectar	29	37	33.0	cryptic
Amblyscirtes	cassus	Hesperiidae	Hesperiinae	yes	natural	G3					1		aposematic	no		October-May	June-September	nectar	25	32	28.5	cryptic
Amblyscirtes	celia	Hesperiidae	Hesperiinae	yes	natural	G4	chrysalis						aposematic	no		October-March	May-September	nectar	22	27	24.5	cryptic
Amblyscirtes	elissa	Hesperiidae	Hesperiinae	yes	natural	G3					1		aposematic	no		September-May	June-August	nectar	22	29	25.5	cryptic
Amblyscirtes	eos	Hesperiidae	Hesperiinae																22	27	24.5	cryptic
Amblyscirtes	exoteria	Hesperiidae	Hesperiinae	yes	natural	G3					1		aposematic	no		Oct-May	June-Sept	nectar	32	38	35.0	cryptic
Amblyscirtes	fimbriata	Hesperiidae	Hesperiinae	yes	anthropogenic	G3							cryptic	no		August-March	April-July	nectar	29	32	30.5	cryptic
Amblyscirtes	hegon	Hesperiidae	Hesperiinae	yes	natural	G5					1		aposematic	no		September-June	July-August	nectar	25	31	28.0	cryptic
Amblyscirtes	nereus	Hesperiidae	Hesperiinae	yes	natural	G3					1		cryptic	no		Sept-May	June-August	nectar	25	29	27.0	cryptic
Amblyscirtes	nysa	Hesperiidae	Hesperiinae	yes	anthropogenic	G4			3				aposematic	no		November-Feburary	March-October	nectar	19	30	24.5	cryptic
Amblyscirtes	oslari	Hesperiidae	Hesperiinae	yes	natural	G4	larva	1	2	1	1		aposematic	no		April-August	May-July	nectar	25	35	30.0	cryptic
Amblyscirtes	phylace	Hesperiidae	Hesperiinae	yes	natural	G4		1	1	1	1		aposematic	no		September-May	June-August	nectar	22	29	25.5	cryptic
Amblyscirtes	reversa	Hesperiidae	Hesperiinae	yes	natural	G3				2	3		aposematic	no		Septemeber-March	April-August	nectar	29	35	32.0	cryptic
Amblyscirtes	texanae	Hesperiidae	Hesperiinae	yes	natural	G3							aposematic	no		April-September	Novermber-March	nectar	25	32	28.5	cryptic
Amblyscirtes	tolteca	Hesperiidae	Hesperiinae																25	32	28.5	cryptic
Amblyscirtes	vialis	Hesperiidae	Hesperiinae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	no		September-February	March-August	nectar	22	32	27.0	cryptic
Anaea	aidea	Nymphalidae	Charaxinae	yes	natural	G5						singly	aposematic	yes		September-April	May-August	sap, dung, and rotting fruit	57	78	67.5	aposematic
Anaea	andria	Nymphalidae	Charaxinae	yes	anthropogenic	G4	adult					singly	aposematic	yes		August-May	July-August	sap, dung, and rotting fruit	60	82	71.0	aposematic
Anaea	floridalis	Nymphalidae	Charaxinae	yes	natural	G1	adult					singly	aposematic	yes		October-April	May-September	rotting fruit, dung	76	90	83.0	aposematic
Anaea	pithyusa	Nymphalidae	Charaxinae	yes	natural	G5	adult					singly	cryptic	yes		November-March	May-September	rotting fruit, dung	57	76	66.5	cryptic
Anartia	fatima	Nymphalidae	Nymphalinae	yes	natural	G5							cryptic	yes				nectar	60	70	65.0	cryptic
Anartia	jatrophae	Nymphalidae	Nymphalinae	yes	natural	G5						singly	cryptic	yes				nectar	51	70	60.5	aposematic
