Site	Abundance.trend	Richness.rarefied.trend	Evenness.evar.rarefied.trend	Cropland.2015	Cropland.diff	Built.2015	Built.diff	Precip.2018	Precip.diff	Temp.2018	Temp.diff	Lon	Lat	Elevation	EcoI	EcoII	CDL.prop.cropland.2018	CDL.N.crops.2018	CDL.edge.density.2018	Field.size.index	Avg.field.area.km	N.fields	Livestock.density
ACAS, MD._-77.1931_39.4234	-0.035655273965993	-0.023497177927822	-0.02706978698438	0.515989625	-1.194664975	0.157738421	0.13044176	101.458335002263	10.7750000158942	13.5114585386279	0.8006249787597	-77.1931	39.4234	181.365102639296	8	8.3	0.308994542672797	29	202.235454919851	0.361863887185776	0.184396551724138	522	2185.72326804729
Adams Co._-83.4136_38.7718	-0.048962597514391	-0.063549799768934	-0.018865998367794	0.168674795	-0.302579899	0.047677532	0.041729268	103.756251752377	14.9420837759976	13.0104169131567	0.8995834272355	-83.4136	38.7718	251.72808320951	8	8.3	0.074791451945375	9	111.452882619393	0.182156133828996	0.157806	50	1425.08638177482
Airlie Center, VA._-77.7943_38.7566	0.055363388711885	-0.071332930147007	-0.127038910996508	0.35531748	-0.697929307	0.12232215	0.086731512	96.9520847002665	8.83291619817409	14.6989585900058	0.853125026697899	-77.7943	38.7566	164.117994100295	8	8.3	0.158631378111838	27	185.454579215882	0.0133995037220844	0.186111111111111	81	2608.23808511074
Akron, OH._-81.5637_41.0605	0.116070919239643	-0.07275410626776	-0.107043367267858	0.080311005	-0.159564117	0.667377959	-0.056411806	88.6781267523766	8.96562524239229	10.5427085216312	0.667708358649749	-81.5637	41.0605	310.183118741059	8	8.1	0.0228871558172847	14	224.229402090297	0.144038346315159	0.150707142857143	42	196.867711110097
Alexandria, LA._-92.467_31.2742	0.079593840450981	-0.070501447378581	-0.019805463101144	0.288919188	-0.676947941	0.288493232	0.135465862	130.630209922791	-1.05645945668198	20.0416670739651	0.702500102917401	-92.467	31.2742	24.4311183144246	8	8.3	0.183489177144676	16	196.503793304685	0.229399865138233	0.265406086956522	115	743.417132964576
Algonquin East, ON, Canada._-77.9_45.9833	-0.087931900935636	-0.048574007896351	0.040091363696415	0	0	0.003445674	0.003445674	71.5687513748805	2.81541675726581	5.35104178606222	0.82104167460153	-77.9	45.9832999999999	274.951315789474	5	5.2	NA	NA	NA	0	NA	NA	6.46366339040469
Algonquin Park, ON, Canada._-78.4_45.5667	-0.107560263196779	-0.029216704215016	0.031682940576452	0	0	0.004343343	0.004343343	80.4250017801921	3.8916668891907	4.62812513733904	0.83562510684133	-78.4	45.5667	461.13925729443	5	5.2	NA	NA	NA	0.000222222222222222	NA	NA	5.87742590682167
Allegan, MI._-86.0074_42.5492	-0.054322358279153	-0.092259030016338	-0.037011339433886	0.192968941	-0.380451633	0.062820107	0.0373424	83.7052094936371	9.5093750794729	9.83020857100685	0.648541759016609	-86.0074	42.5492	205.865357643759	8	8.1	0.134521841371778	39	181.066102718873	0.271168526130358	0.183121220930233	344	9722.9003180587
Allen Co._-85.0833_41.2167	-0.262283004886585	-0.127862318383567	0.086829877642949	0.507385054	-1.188215504	0.287226843	0.045150718	85.415626347065	6.4081251263619	10.7333334835712	0.471666676163101	-85.0833	41.2167	251.093220338983	8	8.2	0.283270264570476	15	216.905479090484	0.455469216975493	0.185398670605613	677	2455.14538917532
Alva, FL._-81.6726_26.7153	-0.025968156965692	-0.064634773779434	-0.018233384762231	0.221065266	-0.432914458	0.297677816	-0.145907324	129.865627949437	12.21645911634	24.3625003695488	0.579999991258003	-81.6726	26.7153	6.61148648648649	8	8.5	0.0638726058244061	13	193.558740927162	0.335744680851064	0.235775172413793	145	676.207524558163
Anchorage, AK._-149.7773_61.1642	-0.093713813134861	-0.062533355260721	0.050246217334634	0.00238864	-0.002944659	0.382934762	-0.011143636	41.1083338906368	3.4124999294679	3.07916677285296	0.92166673430862	-149.7773	61.1642	268.464816650149	7	7.1	NA	NA	NA	0	NA	NA	33.6423196573802
Ann Arbor City, MI._-83.7066_42.2805	-0.026959736077375	-0.055685086931706	-0.025880736451402	0.242739105	-0.631828	0.457324392	0.038880748	78.9989596406619	8.7072918772698	10.3604167960584	0.52874995439001	-83.7066	42.2805	260.708860759494	8	8.2	0.139283824167254	23	244.568728023228	0.208695652173913	0.174627464788732	426	1167.14321527148
Annutteliga Hammock_-82.452_28.73	0.177676744002201	-0.013028266707146	-0.007494899370046	0.154185952	-0.475515974	0.217464441	0.003336406	127.178127118697	18.335625375062	22.625000278155	0.635833271344499	-82.452	28.73	23.8233333333333	8	8.5	0.0549576919480406	20	173.865236303684	0.0842618384401114	NA	NA	748.28380249558
Archer, FL._-82.3392_29.6667	-0.014230982690561	-0.056423034861491	-0.023583101282552	0.089298439	-0.17024489	0.637029901	-0.038630816	123.528127300243	13.797292069098	21.6427086095015	0.689374961455602	-74.9003	40.1813	35.1398026315789	8	8.5	0.0132681036300767	18	226.31112631988	0.336099585062241	0.1683	1	1509.41712619007
Arkansas City, KS._-97.0385_37.0412	-0.006727562839702	0.03888447384357	-0.005972290859671	0.15995804	-0.448807061	0.010364499	-0.004540276	72.4833345810572	-5.67416657358409	15.6385418899978	0.674375068892999	-96.87	28.25	348.012048192771	9	9.4	0.423775318639118	22	173.332505707172	0.598352344740177	0.260900856793146	817	1165.31538733759
Ashland Co._-82.3393_40.7191	-0.066890209544521	-0.160049484695934	-0.104410658740845	0.045176766	-0.09322979	0.29588144	0.068872326	90.7250017126401	9.8291671554247	10.4687502408245	0.706250048909959	-82.3392	29.6667	357.056195965418	8	8.1	0.304237798994515	21	173.099661854106	0.550932050511124	0.17762950075643	661	3090.09083368883
Atascosa Highlands, AZ._-111.16_31.48	0.219002816598644	-0.107226973747893	-0.23439817454774	0.456110038	-0.890398918	0.07895575	0.049873905	38.5322923036292	1.3481250558048	17.4979170262814	1.0720834751924	-97.0385	37.0412	1291.42326332795	12	12.1	4.1781649101794e-05	5	45.6514256495554	0	NA	NA	514.767669465449
Attwater, TX._-96.2833_29.6833	-0.049304790457522	-0.04630921988814	0.03416897597773	0.467582437	-1.028578288	0.075002687	0.065735744	91.8802103797595	-3.0847913026809	21.9250002801418	0.716666605075197	-82.3393	40.7191	59.5740131578947	9	9.5	0.221776552185176	19	172.268712504361	0.641821946169772	0.3303	158	2282.77726912375
Aullwood Audubon Center and Farm, OH._-84.2754_39.8732	-0.068019524624049	-0.073485951806085	-0.01891755155593	0	-0.00234904	0.008224621	0.008224621	93.3583347996076	11.31749954621	12.0822918514411	0.7047916896021	-111.16	31.48	278.788629737609	8	8.2	0.292811711035996	20	175.265648967346	0.390371724558196	0.223565542521994	682	1234.19498502647
Austin, TX._-97.7736_30.321	-0.085648679209438	-0.05910920419759	0.042694167476091	0.923920184	-1.888309418	0.046381635	0.043759137	72.131251513958	-0.497083401680001	21.1625002821287	0.904999987284402	-96.2833	29.6833	208.412151067323	9	9.4	0.00214264398686959	15	263.735534997845	0.0250341997264022	NA	0	750.751605831382
Avoca_-90.4267_43.1829	0.026909574097668	0.022065207363005	-0.024741665786444	0.423551004	-0.900808021	0.420059401	0.011238718	76.1677096684774	2.4435419301192	8.32916687941179	0.580833448997391	-84.2754	39.8732	260.46675900277	8	8.1	0.228439726329904	27	150.563647130834	0.426395348837209	0.187490909090909	396	3788.30290237543
Avon Park Air Force Range_-81.3333_27.6167	0.082652464340932	-0.136832998235476	-0.090388627633354	0.004423079	-0.014638429	0.629174007	0.007832207	120.576043506463	12.343542039394	23.7229170501232	0.723749989271102	-97.7736	30.321	22.55	8	8.5	0.0579105487246828	18	164.357433714005	0.0502463054187192	0.175741463414634	41	2740.1489775662
Baker Ponds, NH._-71.9685_43.8898	0.082206722633897	0.023875880238859	-0.064378448986333	0.382494854	-0.707560671	0.04339561	0.034111975	100.491668681304	7.90000053644211	6.68437514438604	0.86020838062589	-90.4267	43.1829	428.259208731241	5	5.3	0.020015638461064	12	159.223143861241	0.00504297994269341	0.2529	1	133.086439347048
Bald Mountain Recreation Area, MI._-83.21_42.75	0.136694730574034	-0.13228377471749	-0.135261419745628	0.219838165	-0.530516436	0.051444667	-0.080755913	75.6239596009254	5.4089583834012	9.56041678553447	0.62791664982214	-81.3333	27.6167	292.710893854749	8	8.1	0.028366494230004	26	239.417694654464	0.167892586106246	0.1791	1	256.601438938642
