grid_id	Site	Rarefied.richness.trend	Rarefied.evenness.trend	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	EcoI	EcoII
656	Atascosa Highlands, AZ._-111.16_31.48	0.0472591519015963	-0.195012733836074	0.0011727375	-0.094876171094123	0.0048684505	34.8365390559133	-0.000459467665000496	16.8682695168715	0.0230042432292938	-111.16	31.48	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
657	Patagonia, AZ._-110.6908_31.5072	-0.019018265423224	0.0271449103571495	0	-0.0865298200991184	0.005430787	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.6908	31.5072	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
660	Portal, AZ._-109.1667_31.85	0.0270626296697419	0.0620532041812459	0.0060694395	0.267654083465533	0.0045748265	28.3115389077232	0.0038485205348633	16.0858976902106	0.0217692063207327	-109.1667	31.85	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
596	Ramsey Canyon, AZ._-110.2238_31.424	0.00961570757621736	0.0436620771810283	0.0144339515	0.027505364525576	0.029732004	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.2238	31.424	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
787	Sabino Canyon, AZ._-110.7774_32.3656	0.0665673236780198	-0.0368093986037518	0.002485158	0	0.0617453115	29.2506415812681	0.000600479878054559	19.1038464842699	0.0227845171223231	-110.7774	32.3656	SOUTHERN SEMIARID HIGHLANDS	WESTERN SIERRA MADRE PIEDMONT
1944	Adams Co._-83.4136_38.7718	0.0591679593999678	0.0589253174126925	0.1512542875	0.0531485343716795	0.027317342	94.0310912560194	0.00407119002083379	12.5096155926108	0.00605113736078911	-83.4136	38.7718	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2210	Belleplain, NJ._-74.9333_39.25	-0.029891669704619	0.0887315970380367	0.0341207835	-0.0748312863013321	0.05642155	94.4894246260325	0.00214064643234218	13.0878207295035	0.0167319571524406	-74.9333	39.25	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
1941	Big Oaks National Wildlife Refuge, IN._-85.4167_38.9333	0.00164372522686569	0.012004362067035	0.339927857	-0.00114103777312128	0.022333365	103.545194256	0.00892784656777196	12.8605771438004	0.00525337581091635	-85.4167	38.9333	EASTERN TEMPERATE FORESTS	CENTRAL USA PLAINS
2909	Blackstone Valley Corridor, MA._-71.6117_42.1243	-0.0568915874103107	0.0532682524429009	0.0180868875	-0.0195798910057912	0.2228992865	104.704489066051	0.0111273184800017	9.72307709852854	0.022113863525084	-71.6117	42.1243	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
836	Bond Swamp National Wildlife Refuge, GA._-83.5765_32.7288	0.0991283837631269	-0.0341996955016696	0.0598840685	-0.108816348372591	0.2090445925	93.4166682530672	-0.000911403138396184	18.3519233419345	-0.00150967606869716	-83.5765	32.7288	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2550	Bronx/Manhattan Counties, NY._-73.9_40.86	-0.118758161443786	0.0338825784846186	0.00051779	-0.0983540067416573	0.7324136285	98.2740399470696	0.00714889553836377	12.7785258866751	0.0214235244242866	-73.9	40.86	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
2377	Bryn Mawr, PA._-75.3406_40.0689	-0.0162045584296683	0.0291615077507028	0.049495397	-0.0933774319561139	0.6786375475	104.716027452396	0.00683461139637767	11.76955146247	0.0184409935125273	-75.3406	40.0689	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2210	Cape May, NJ._-74.8667_39.0167	0.0520942820101188	-0.00345035124748033	0.024781629	-0.0779090952187442	0.168750639	94.4894246260325	0.00214064643234218	13.0878207295035	0.0167319571524406	-74.8667	39.0167	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
2998	Central Franklin Co._-72.5097_42.5795	-0.0347585278632785	-0.0158940745603592	0.0639512245	0.0378020766110056	0.0936446825	104.447758265031	0.0112713087634163	8.08333348841048	0.0179198332312999	-72.5097	42.5795	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
980	Central Savannah River Valley_-81.9261_33.3756	0.0262069768726443	-0.0481000338552747	0.1341347655	-0.161233343866659	0.288349037	94.4775658715994	0.00202304122974395	18.2919874466383	0.00126208739703313	-81.9261	33.3756	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2640	Central Suffolk Co._-72.7536_40.8627	-0.00321136413411635	0.135529360005419	0.0895568065	-0.0339536010845989	0.394280802	101.070193724755	0.00850399274224454	11.7756412185442	0.0209217795001422	-72.7536	40.8627	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
2622	Chelsea, MI._-84.0204_42.3181	0.035285839277186	-0.0556703763405431	0.4379986285	-0.11652339847133	0.07542873	76.7092961852367	0.010377453372991	9.26570529662646	0.00921617128451716	-84.0204	42.3181	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
1351	Crooked Creek_-92.6167_36.2667	0.128117737484036	-0.128200341810035	0.2979981315	-0.00671980429749351	0.0414249695	97.0839761999937	0.00318194503568207	15.6596156542118	0.00676020590681153	-92.6167	36.2667	EASTERN TEMPERATE FORESTS	OZARK/OUACHITA-APPALACHIAN FORESTS
2209	Cumberland Co._-75.2004_39.3325	0.0498628476596344	-0.00624635347727384	0.1366166505	-0.111755708313951	0.09328538	98.6246811243204	0.00453048920560235	13.5243592012483	0.0141183187372431	-75.2004	39.3325	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
750	Daingerfield, TX._-94.72_33.03	0.123471719174189	0.103564486837303	0.353513467	-0.0444120026388135	0.0527358105	102.866668180013	0.00623725541444478	18.0310900394733	0.000888555758067759	-94.72	33.03	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
1277	Decatur Co., TN._-88.0338_35.6278	-0.0737662309485731	-0.0297739337313142	0.1133242215	-0.0976207037723349	0.037902146	118.422117292117	0.00915630214501924	15.2487181932546	0.00353945834126613	-88.0338	35.6278	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
1539	Durham, NC._-78.9008_36.0935	0.00275733434121117	-0.0657904512568645	0.0991144295	-0.105311330017781	0.2206684365	95.0711556925223	0.00182023779713588	15.0179489667599	0.00832897239995508	-78.9008	36.0935	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS
2728	East Haddam, CT._-72.4_41.48	0.132590732296227	0.0474593623457578	0.022574635	-0.0274365637531363	0.044569385	107.180450986593	0.00920624419703769	10.9817309370503	0.0214872466020892	-72.4	41.48	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
2816	Eastern Catskills_-74.0298_42.0565	-0.0954013380654728	0.0928484047065591	0.045436911	-0.0344149039312668	0.079270545	109.811219857289	0.00892425316815832	7.18076936833751	0.0148901643982163	-74.0298	42.0565	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS
