"Site"	"Year"	"N.species"	"Evenness"	"N.butterflies"	"Party_Hours"	"Longitude"	"Latitude"	"grid_id"	"EcoI"	"EcoII"	"EcoregionI"	"EcoregionII"
"ACAS, MD._-77.1931_39.4234"	1996	21	0.677771189347055	613	4.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	1997	23	0.637864751209306	677	5.67	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	1998	29	0.341473854162466	1910	4.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	1999	27	0.476326375569009	815	5.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2000	28	0.559625741348435	493	4	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2001	35	0.671067191484559	561	8	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2002	28	0.489268605533911	1248	10.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2003	24	0.564777366292673	1172	9.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2004	38	0.593855462116971	1086	8.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2005	34	0.552454611368583	902	8.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2006	30	0.533554898974412	1233	8	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2007	33	0.574965582280051	1705	8.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2008	29	0.577979765392213	1153	9	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2009	27	0.682032193945963	522	11	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2010	33	0.625816353467921	879	12.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2011	32	0.558493745697842	707	13.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2012	30	0.573767866067029	747	12.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2013	23	0.719908068413026	649	14	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2014	30	0.715204658122777	583	14.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2015	31	0.739984146645718	722	15	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2016	29	0.647446195456964	905	16.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2017	33	0.647216017075117	997	11	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"ACAS, MD._-77.1931_39.4234"	2018	28	0.729384538329892	370	17.5	-77.1931	39.4234	2206	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1993	46	0.691847329391475	1113	25	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1994	46	0.72802332680017	1026	31.25	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1995	49	0.609077745813491	868	27	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1996	51	0.688554185889221	1151	34.25	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1997	53	0.66151262642789	2020	46.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1998	50	0.742849133132467	1679	30.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	1999	53	0.592377813305218	1958	27.2	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2000	56	0.6259633963544	2105	32.25	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2001	50	0.746942422298074	984	30	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2002	47	0.79711175789749	925	30	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2003	51	0.748956222411094	1210	37	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2004	58	0.767923078266636	1914	38.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2005	48	0.692450854495033	1266	36.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2006	52	0.675209500688256	1183	42	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2007	46	0.723753759960113	1691	33.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2008	51	0.713832108135338	1519	27.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2009	48	0.578785614992265	1065	14.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2010	50	0.789090495741492	1798	43	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2011	54	0.66511059853569	1475	34.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2012	53	0.832194183440667	1005	37.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2013	44	0.718131380689028	851	40	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2014	35	0.78455023455888	356	22.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2015	38	0.796001198367957	573	26	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
"Adams Co._-83.4136_38.7718"	2016	46	0.782829187073014	1054	27.5	-83.4136	38.7718	1944	8	8.3	"EASTERN TEMPERATE FORESTS"	"SOUTHEASTERN USA PLAINS"
