grid_id	EcoI	EcoII	EcorgnI.x	EcrgnII.x	Cropland.2015	Cropland.diff	Built.2015	Built.diff	Precip.2018	Precip.diff	Temp.2018	Temp.diff	Lon	Lat	Elevation	CDL.prop.cropland.2018	CDL.N.crops.2018	CDL.edge.density.2018	Field.size.index	Avg.field.area.km	N.fields	Livestock.density	Abundance.trend
2206	8	8.3	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS	0.496968553	-0.139953162	0.169761726	0.103754759	101.458335002263	10.7750000158942	13.5114585386279	0.8006249787597	1518933.04657	82440.40381	159.540748606318	0.492797411695206	37	167.945083842765	0.301099877791357	0.184827045769764	2884	1699.66369589529	-4.1138345078062
1944	8	8.2	EASTERN TEMPERATE FORESTS	CENTRAL USA PLAINS	0.309460457	-0.074782671	0.051459096	0.040439224	104.984376976887	14.8831255733963	13.0312502356246	0.8670833747834	1018933.04657	-67559.59619	265.141022210329	0.149297356958595	27	70.219353581546	0.303627407075683	0.196799172984149	1451	1343.1668389206	-1.55918869069158
2037	8	8.3	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS	0.350412998	-0.00248199	0.082506809	0.063197294	95.6239597797394	8.1927080939214	14.0911460456749	0.871562489184301	1468933.04657	-17559.59619	200.137912530185	0.194812529854145	32	172.142356598275	0.118760525429438	0.190840909090909	638	2216.74767137708	0.367699624244611
2452	8	8.1	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS	0.181870735	-0.056672078	0.491054729	-0.004909305	88.6781267523766	8.96562524239229	10.5427085216312	0.667708358649749	1118933.04657	232440.40381	284.299534402483	0.0740391380872831	22	208.049146161861	0.181157382368848	0.172029545454545	924	710.49309262204	1.1097911716726
508	8	8.3	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS	0.235406167	-0.047355917	0.11047228	0.069045625	127.561460226774	-0.750625406703008	20.0031253670653	0.691458397607001	318933.04657	-1017559.59619	34.4412195836998	0.14363736562603	18	193.468816650205	0.182617235452983	0.271333212010919	1099	689.217411245678	3.27101709763344
3534	5	5.2	NORTHERN FORESTS	MIXED WOOD SHIELD	0.002047872	-0.002586713	0.021256261	0.020630831	71.5687513748805	2.81541675726581	5.35104178606222	0.82104167460153	1318933.04657	832440.40381	267.28462090409	NA	NA	NA	0.0152182619142972	NA	NA	10.824430349475	-5.51420219093378
3439	5	5.2	NORTHERN FORESTS	MIXED WOOD SHIELD	0	0	0.003145497	0.003145497	85.309376736482	3.67229175964989	4.72916682778547	0.83833346633861	1268933.04657	782440.40381	461.392874337988	NA	NA	NA	0.000785340314136126	NA	NA	6.74555986061506	-4.31907378129867
2619	0	0.0	WATER	WATER	0.326596302	-0.03802938	0.073146092	0.044146857	89.3333346048991	9.61083348592119	10.5906251358489	0.5631249749412	768933.04657	332440.40381	208.758944430348	0.260249730603672	47	194.531387956136	0.363771501380336	0.19341540237467	3032	5749.52904470265	-2.31966915420517
2361	8	8.2	EASTERN TEMPERATE FORESTS	CENTRAL USA PLAINS	0.699107274	-0.153218899	0.187919748	0.061041162	85.9854179819425	7.81666674216591	10.626041870215	0.458958372776399	868933.04657	182440.40381	238.675990675991	0.677513700206471	24	112.142150483588	0.635070987319822	0.229888410168031	6963	2670.95346957635	0.187026690273906
149	8	8.5	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS	0.385651201	0.009762273	0.06142469	-0.065255856	129.865627949437	12.21645911634	24.3625003695488	0.579999991258003	1368933.04657	-1417559.59619	11.531641699786	0.113423915801582	17	148.749997650504	0.251329923273657	0.245637093425606	1445	1777.80392822371	-2.21198527949762
5196	7	7.1	MARINE WEST COAST FOREST	MARINE WEST COAST FOREST	0.018081204	-0.00228197	0.079753167	-0.002489413	42.2130214596788	3.6642708246907	3.35885425955833	0.92552089322513	-2781066.95343	3282440.40381	130.447389997267	NA	NA	NA	0	NA	NA	28.9450667360355	-7.57544203146691
2623	0	0.0	WATER	WATER	0.186829141	-0.117065903	0.582729793	0.002390878	79.4729181826115	8.60083368420599	10.3375001597839	0.584166665126871	968933.04657	332440.40381	219.274809160305	0.103079235332895	30	241.433220166941	0.197039718879779	0.191290148698885	1614	498.227045492345	1.20476478020743
317	8	8.5	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS	0.089751841	-0.09557942	0.187975067	0.012810819	125.686460250368	17.940625061343	22.6348961442709	0.6294791191816	1268933.04657	-1217559.59619	16.5112529392005	0.0306448031893325	29	166.911622169354	0.0529811320754717	0.1314	2	886.695193241392	1.71064189969965
162	9	9.5	GREAT PLAINS	TEXAS-LOUISIANA COASTAL PLAIN	0.210534919	-0.100824405	0.01841879	-0.000985008	75.5197928249836	-2.46187535127001	22.6250003874302	0.794166706005701	-81066.95343	-1367559.59619	4.95029527559055	0.144058744496425	27	120.139707478031	0.158037182243582	0.521266473988439	346	452.359139507143	2.43108567818486
417	8	8.5	EASTERN TEMPERATE FORESTS	MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS	0.191506842	-0.025210343	0.102844907	0.036765622	123.528127300243	13.797292069098	21.6427086095015	0.689374961455602	1268933.04657	-1117559.59619	32.1047448522829	0.0761369785032294	30	216.445583599178	0.470648379052369	0.183535714285714	168	1531.4139627019	-1.36469177766
1426	9	9.4	GREAT PLAINS	SOUTH CENTRAL SEMIARID PRAIRIES	0.317836139	0.05525962	0.056080386	0.037218891	79.330730351309	-6.2342709451914	16.3776044688808	0.693437570550701	-81066.95343	-367559.59619	338.125171939477	0.297912355456543	28	118.892811176351	0.422513510405887	0.26836406779661	2655	1204.02645167766	0.201030086359477
2365	8	8.1	EASTERN TEMPERATE FORESTS	MIXED WOOD PLAINS	0.604217317	-0.208390679	0.114364113	0.059476011	91.319793343544	10.5652086655299	10.3302085143902	0.696458314335901	1068933.04657	182440.40381	339.138585543422	0.451530894759697	28	162.688609939895	0.607460576400218	0.220552125487284	5387	2957.03435549224	-0.837311689836617
656	10	10.2	NORTH AMERICAN DESERTS	WARM DESERTS	0.00381968	-0.007218688	0.014545898	0.014545898	33.6750004941908	0.540000096677495	18.5010419984659	1.0843750377497	-1381066.95343	-867559.59619	1142.24853971963	0.00267990761515692	15	19.1171060096275	0	NA	0	272.287722098405	-1.44219194967262
291	8	8.3	EASTERN TEMPERATE FORESTS	SOUTHEASTERN USA PLAINS	0.776809619	-0.054675554	0.047081018	0.030655389	91.8802103797595	-3.0847913026809	21.9250002801418	0.716666605075197	-31066.95343	-1217559.59619	52.9362980769231	0.330637154389071	27	212.808558704395	0.631882603787784	0.304933827493261	1484	2120.56748988214	-0.524888908011212
