Species	grid_id	Abundance.trend	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	Family	NCGR	LarvalColor	LarvalHair	AdultSize	AdultColor	Diet.breadth.families
Achalarus lyciades	1110	2.62993195671521	0.2450387	-0.0420317750242244	0.026317225	99.5730786522229	0.00575052612384151	16.9887823332579	0.00347065181001641	-93.46566289	35.14637207	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1266	1.72079730434291	0.45780919	0.125137606303607	0.03099304	96.8802901069896	0.0061008005856329	15.4726765497755	0.00703658975270904	-94.60599328	36.01769096	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2909	-2.16759499757705	0.027316715	-0.0166054419973886	0.21103786	104.704489066051	0.0111273184800017	9.72307709852854	0.022113863525084	-71.72198558	42.0478671	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	836	2.52500501454311	0.067355605	-0.0617217263048393	0.12243194	91.5833347134101	-0.00166285035581247	18.141346396544	-0.00199122508435046	-83.42747602	32.8207102	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2377	-1.15208748522913	0.054448405	-0.108792000655625	0.704605825	102.984777300786	0.0055189915901771	12.4121796882962	0.0183914030378302	-75.07406216	39.97854793	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2998	-1.18741012836626	0.021971235	0.0441252182459608	0.0556763	96.245514686291	0.0105462334735524	9.15224374140589	0.0195185567649437	-72.18455731	42.56364832	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	980	1.43215276718773	0.06461779	-0.0407368019440093	0.234620635	93.2403862583332	0.000201639207076209	17.2397438967839	0.000470116429323209	-82.15601061	33.55183167	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2640	-1.30087106472154	0.044593145	-0.0842624877577803	0.27774565	101.070193724755	0.00850399274224454	11.7756412185442	0.0209217795001422	-72.81206193	40.9223309	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2622	-0.393565055460587	0.47449671	-0.105017369641001	0.104525265	76.7092961852367	0.010377453372991	9.26570529662646	0.00921617128451716	-84.10874889	42.32652711	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	750	2.78624965309582	0.33210436	0.0240345012717409	0.03073687	103.006652334657	0.00610938600027277	18.3177887556645	0.00192634161879704	-94.66381159	33.02238206	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2728	-2.14906282049846	0.014278565	-0.0387078422080972	0.19666345	102.066027580163	0.00963396911316466	11.3740386446604	0.0209186653465869	-72.65824309	41.33307557	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	985	1.31755501731188	0.00402735	-0.0480517051125132	0.029322095	106.130130052567	0.00595633180268813	18.8608977443133	0.00806312460757025	-79.36974955	33.20840813	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1867	-0.334066868363958	0.23779233	0.0939495307191937	0.032661115	89.4503220671263	0.00497705922436456	12.9788463802244	0.00972664530040708	-79.39960399	37.98204312	Hesperiidae	G5	aposematic	yes	47	aposematic	1
