Species	grid_id	Abundance.trend	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	Family	AdultSize	Diet.breadth.families
Achalarus casica	660	-4.07150909887457	0.011659125	0.279378199006305	0.002956675	28.3115389077232	0.0038485205348633	16.0858976902106	0.0217692063207327	-109.10757424	31.89576671	Hesperiidae	44.5	1
Achalarus casica	596	-1.23788458601917	0.01434044	0.0286047502824248	0.01227213	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.11953888	31.34555361	Hesperiidae	44.5	1
Achalarus casica	656	-5.1131725640697	0.007408705	0.0299198956515542	0.007268035	30.930449152222	-0.00301793410126964	17.8644233636367	0.0228635215741446	-111.29159426	31.6384602	Hesperiidae	44.5	1
Achalarus casica	787	-7.24429170507225	0.001989555	-0.0419214502878137	0.0372243	33.5266031059317	-0.00106449739496015	18.6490387580334	0.0228869779562348	-110.91998099	32.55712826	Hesperiidae	44.5	1
Achalarus casica	657	-3.82407572215596	0.00242365	-0.0647295155863219	0.011934525	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.74703005	31.70648463	Hesperiidae	44.5	1
Achalarus lyciades	1944	1.45352473240818	0.34692727	0.0438955159040642	0.03125277	95.3633029644306	0.00576132892235097	12.5608976507106	0.00557469253036141	-83.50763926	38.8563987	Hesperiidae	47	1
Achalarus lyciades	1941	2.85188328141126	0.43694279	-0.0887801034335515	0.02989122	100.112581898769	0.00981056782248108	12.4907053441514	0.0064329927417886	-85.32986539	39.01156845	Hesperiidae	47	1
Achalarus lyciades	2909	-3.01270174717352	0.027316715	-0.0166054419973886	0.21103786	104.704489066051	0.0111273184800017	9.72307709852854	0.022113863525084	-71.72198558	42.0478671	Hesperiidae	47	1
Achalarus lyciades	836	3.06767934530687	0.067355605	-0.0617217263048393	0.12243194	91.5833347134101	-0.00166285035581247	18.141346396544	-0.00199122508435046	-83.42747602	32.8207102	Hesperiidae	47	1
Achalarus lyciades	2550	-3.2942395600895	0.003223865	-0.0796729537756787	0.696762035	105.190386533737	0.00805747542009713	12.1413463465153	0.0199966764104265	-74.18491634	40.7098448	Hesperiidae	47	1
