Species	grid_id	Abundance.trend.leftcensored	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	Family	NCGR	LarvalColor	LarvalHair	AdultSize	AdultColor	Diet.breadth.families
Achalarus lyciades	836	5.03338812690364	0.067355605	-0.0617217263048393	0.12243194	91.5833347134101	-0.00166285035581247	18.141346396544	-0.00199122508435046	-83.42747602	32.8207102	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2550	-1.52850673926193	0.003223865	-0.0796729537756787	0.696762035	105.190386533737	0.00805747542009713	12.1413463465153	0.0199966764104265	-74.18491634	40.7098448	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	826	3.05284860608883	0.109135975	-0.124936441786855	0.034905685	118.665547189709	0.00714307622646664	17.4134618273148	0.00233039736872564	-89.01715506	33.26311782	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1364	2.80902224202264	0.238467175	0.0350874237715167	0.05317171	120.088143041501	0.00831463131256009	14.5024842087132	0.00319584755756619	-85.20831943	36.00500371	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1032	4.82216326961937	0.10189449	-0.0278483109266104	0.01371276	105.365065794725	0.00684238383934506	16.3750002805908	0.00317227696365524	-94.63137406	34.73655745	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2638	-1.27707067926885	0.0092759	-0.0343771242982897	0.414552885	109.683014732141	0.00869867448106298	10.9568912139377	0.0187962815853593	-74.04051994	41.1221102	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1202	2.72040230335953	0.12770493	-0.053040089475882	0.178943195	120.85929694084	0.00819883678219933	15.1355771938196	0.0019135203784825	-85.33981564	35.15666361	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1372	-1.0386207699158	0.347081625	-0.0194230061014228	0.210225275	92.7541682567352	-0.00100849550880074	15.7134618140184	0.0117900033219136	-80.5810055	35.53442042	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2637	1.5319547942342	0.12301433	-0.00621702667403539	0.07834888	106.812501772856	0.00898668387401966	9.78750015128977	0.0183212941509963	-74.65760418	41.21797688	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	463	4.44679277000133	0.0216159	-0.197696249018156	0.080045565	130.187822727057	-0.000573784813046686	20.3358977681551	-3.40843998587177e-05	-84.39391569	30.30869104	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1457	-6.30563036879629	0.139914	-0.187040366956132	0.360959115	95.3285272104236	-2.1213913884578e-05	15.8804489725675	0.00909204903993024	-78.75857597	35.7354583	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	905	7.24461251886162	0.153113155	0.0410199042331909	0.079631655	96.2939118651243	0.00049182583199376	17.8432694948637	-0.000272538705186089	-83.91185813	33.30226978	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2462	-1.48117343173185	0.359952015	0.0661647587361536	0.23917506	104.027565822387	0.00725443059602505	10.9216348042306	0.0180631234168768	-75.54837806	40.48401769	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	977	5.6543837734248	0.19104676	-0.0391182162429857	0.25663827	103.819232436327	0.00149692605745663	17.0942310797863	0.00193269647087251	-83.83972237	33.72773855	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1939	6.45787070619126	0.184786035	-0.112490321667655	0.04938468	99.2834953512901	0.00976260536264965	12.127724579428	0.00659957488324463	-86.54918153	39.1014691	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1266	6.77903324379538	0.45780919	0.125137606303607	0.03099304	96.8802901069896	0.0061008005856329	15.4726765497755	0.00703658975270904	-94.60599328	36.01769096	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2639	-0.478496107261639	0.002715645	-0.122482316293169	0.30737173	104.113222866486	0.00827580935166667	11.9260418898342	0.0207968381835502	-73.42532489	41.02355768	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2998	-1.7383504645746	0.021971235	0.0441252182459608	0.0556763	96.245514686291	0.0105462334735524	9.15224374140589	0.0195185567649437	-72.18455731	42.56364832	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	980	2.60130999094368	0.06461779	-0.0407368019440093	0.234620635	93.2403862583332	0.000201639207076209	17.2397438967839	0.000470116429323209	-82.15601061	33.55183167	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2622	0.598787728499284	0.47449671	-0.105017369641001	0.104525265	76.7092961852367	0.010377453372991	9.26570529662646	0.00921617128451716	-84.10874889	42.32652711	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1351	5.70725934638252	0.22877541	-0.0938621630741223	0.02899868	97.0839761999937	0.00318194503568207	15.6596156542118	0.00676020590681153	-92.82919788	36.4131345	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1539	-6.21782934773228	0.16428793	-0.0509922300730238	0.12804653	95.0711556925223	0.00182023779713588	15.0179489667599	0.00832897239995508	-78.6523685	36.15495265	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2728	0.139663415621794	0.014278565	-0.0387078422080972	0.19666345	102.066027580163	0.00963396911316466	11.3740386446604	0.0209186653465869	-72.65824309	41.33307557	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2816	0.301201120424266	0.172131985	0.11998931288113	0.06242844	101.91057853821	0.00791271200659573	10.373397608622	0.0180115548263398	-73.74602267	41.94582058	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Adelpha bredowii	657	-3.62108900555395	0.00242365	-0.0647295155863219	0.011934525	31.7102570198954	0.000541442226090749	16.7663464179406	0.0228407551194979	-110.74703005	31.70648463	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	660	-3.40626134447065	0.011659125	0.279378199006305	0.002956675	28.3115389077232	0.0038485205348633	16.0858976902106	0.0217692063207327	-109.10757424	31.89576671	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	596	-3.62408737918264	0.01434044	0.0286047502824248	0.01227213	34.2685903960314	0.00169395111201497	16.3333335992617	0.0223820947541426	-110.11953888	31.34555361	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2133	-2.91608481045131	0.130208045	0.00675563859511681	0.16849974	65.1397448375773	0.00175905743853867	14.7871797528022	0.0186437873320847	-122.12088588	38.19191202	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
Adelpha bredowii	2049	-3.02174879151401	0.02987971	-0.16568549075308	0.33948004	45.367468699395	0.000275082518862857	14.6854169475727	0.0192274283281387	-121.95725444	37.78284503	Nymphalidae	G5	cryptic	yes	82.5	aposematic	1
