Species	grid_id	Abundance.trend.rightcensored	Cropland.2005_2015	Cropland.trend	Built.2005_2015	Precip.1993_2018	Precip.trend	Temp.1993_2018	Temp.trend	Lon	Lat	Family	NCGR	LarvalColor	LarvalHair	AdultSize	AdultColor	Diet.breadth.families
Achalarus lyciades	2550	-3.87784827830964	0.003223865	-0.0796729537756787	0.696762035	105.190386533737	0.00805747542009713	12.1413463465153	0.0199966764104265	-74.18491634	40.7098448	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2998	-0.646560236332627	0.021971235	0.0441252182459608	0.0556763	96.245514686291	0.0105462334735524	9.15224374140589	0.0195185567649437	-72.18455731	42.56364832	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2728	-3.1433501800319	0.014278565	-0.0387078422080972	0.19666345	102.066027580163	0.00963396911316466	11.3740386446604	0.0209186653465869	-72.65824309	41.33307557	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2816	1.30207208511763	0.172131985	0.11998931288113	0.06242844	101.91057853821	0.00791271200659573	10.373397608622	0.0180115548263398	-73.74602267	41.94582058	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2622	-0.227582603559429	0.47449671	-0.105017369641001	0.104525265	76.7092961852367	0.010377453372991	9.26570529662646	0.00921617128451716	-84.10874889	42.32652711	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1539	-6.5512820171198	0.16428793	-0.0509922300730238	0.12804653	95.0711556925223	0.00182023779713588	15.0179489667599	0.00832897239995508	-78.6523685	36.15495265	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	905	6.72412530565893	0.153113155	0.0410199042331909	0.079631655	96.2939118651243	0.00049182583199376	17.8432694948637	-0.000272538705186089	-83.91185813	33.30226978	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2462	0.409071420792317	0.359952015	0.0661647587361536	0.23917506	104.027565822387	0.00725443059602505	10.9216348042306	0.0180631234168768	-75.54837806	40.48401769	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	977	8.8412165949225	0.19104676	-0.0391182162429857	0.25663827	103.819232436327	0.00149692605745663	17.0942310797863	0.00193269647087251	-83.83972237	33.72773855	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1266	13.5128486674051	0.45780919	0.125137606303607	0.03099304	96.8802901069896	0.0061008005856329	15.4726765497755	0.00703658975270904	-94.60599328	36.01769096	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	2639	-2.9598683795087	0.002715645	-0.122482316293169	0.30737173	104.113222866486	0.00827580935166667	11.9260418898342	0.0207968381835502	-73.42532489	41.02355768	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	826	5.22176159125041	0.109135975	-0.124936441786855	0.034905685	118.665547189709	0.00714307622646664	17.4134618273148	0.00233039736872564	-89.01715506	33.26311782	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1364	5.24475164441565	0.238467175	0.0350874237715167	0.05317171	120.088143041501	0.00831463131256009	14.5024842087132	0.00319584755756619	-85.20831943	36.00500371	Hesperiidae	G5	aposematic	yes	47	aposematic	1
Achalarus lyciades	1375	-3.54514396516075	0.321111785	-0.193664652093899	0.12116288	101.835899224075	0.000418915778675564	16.4448720507133	0.00632985295141682	-78.86350499	35.31550972	Hesperiidae	G5	aposematic	yes	47	aposematic	1
