Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Achalarus casica	3.353	1	0.0166666666666667	-1	0.0166666666666667	0.08308	0.004143	1.604	1.6	0.8803	0.13729	1.598	1.46	-3.584	-8.899	1.6239	8.994	NA	5	26	1993	2018
Achalarus lyciades	2.472	0.569675688471554	0	0.157515978852679	0.0927066331341755	1.0647	0.5664	1.93	1.358	0.29392	-0.06706	0.6259	0.6886	-0.6384	-5.804	4.985	10.721	NA	126	26	1993	2018
Achalarus toxeus	1.424	1	0.0833333333333333	-0.8	0.333333333333333	247	11.05	4807	4797	-0.7455	-1.742	0.2347	2.057	18.403	-4.891	49.09	50.65	NA	4	26	1993	2018
Achlyodes thraso	1.464	0.963636363636364	0	-0.733333333333333	0.0211664810722656	2.844	0.4148	19.9	19.5	0.3858	-0.65143	1.095	1.743	6.207	-5.994	18.152	21.92	NA	10	26	1993	2018
Adelpha basiloides	10.863	NA	NA	NA	NA	1.143e-19	0	Inf	Inf	-12.95	-66835	66814	133649	-77.18	-100	Inf	Inf	NA	1	17	1995	2016
Adelpha bredowii	1.855	0.905440900562852	0	-0.437523452157598	0.00511620616760645	0.8456	0.3729	1.813	1.432	0.7155	0.3833	1.0345	0.6536	-2.655	-5.172	0.164	5.207	NA	47	26	1993	2018
Adelpha fessonia	125.185	1	0.333333333333333	-1	0.333333333333333	2.853	0.006903	1300	1300	-0.1438	-1.974	1.766	3.763	6.012	-12.45	32.19	44.64	NA	3	22	1993	2016
Agathymus aryxna	129.874	NA	NA	NA	NA	133.3	1.857	9324	9322	-2	-3.92	-0.07341	3.847	-14.22	-29.05	3.701	32.75	NA	1	11	2007	2018
Agraulis vanillae	1.542	0.829117025037367	0	-0.0782471982584859	0.329637510542911	2.708	0.7805	7.931	7.098	0.6622	0.2198	1.0934	0.9383	3.481	-4.054	11.935	15.242	NA	185	26	1993	2018
Agriades glandon	1.285	0.73	5.46828216269687e-05	-0.655384615384615	0.000513564719452504	5.843	1.699	20.18	18.38	-0.2082	-0.80638	0.41	1.326	-1.679	-7.743	6.7965	13.407	NA	26	26	1993	2018
