"Site"	"Richness.trend"	"Richness.rarefied.trend"	"Evenness.pei.trend"	"Evenness.pei.rarefied.trend"	"Evenness.evar.trend"	"Evenness.evar.rarefied.trend"	"Dominance.trend"	"Fishers.alpha.trend"	"Decay.rate.trend"	"Party_Hours.trend"	"Total.abundance.trend"	"Series.length"
"ACAS, MD._-77.1931_39.4234"	0.04130258347672	-0.0234971779278217	0.0768019674502344	-0.00969800895982682	0.0378183468174436	-0.0270697869843798	-0.0699499862958126	0.0584605004490493	-0.0902170069503926	0.135078953344699	-0.035655273965993	26
"Adams Co._-83.4136_38.7718"	-0.0479747857424799	-0.0635497997689339	0.0650149052196622	-0.017956353528169	0.0643783711430525	-0.0188659983677937	-0.0298885327750558	-0.0119879092836214	-0.0582444265170423	-0.00471374587928083	-0.0489625975143911	26
"Airlie Center, VA._-77.7943_38.7566"	0.105223760772994	-0.071332930147007	-0.0241155234704208	-0.0733256632757297	-0.0459369456544236	-0.127038910996508	0.00485917743536348	0.069404687287475	-0.00657417995773545	0.252054115500607	0.0553633887118848	26
"Akron, OH._-81.5637_41.0605"	0.101706551373961	-0.0727541062677598	-0.0214357234779723	-0.108930204173326	-0.0751128701993024	-0.107043367267858	-0.0346520532561043	0.0573683474949415	-0.048190455886189	0.08365059921283	0.116070919239643	26
"Alexandria, LA._-92.467_31.2742"	0.0882554821001158	-0.0705014473785807	-0.11855190844237	-0.110451001920186	-0.116129194040744	-0.019805463101144	0.0730813216941038	0.00246163843836867	0.0685219629485527	0.0646944733885683	0.0795938404509814	26
"Algonquin East, ON, Canada._-77.9_45.9833"	-0.0692868872527009	-0.0485740078963512	0.0635349577546801	-0.0180970245705046	0.156643158831384	0.0400913636964152	-0.0164551202130025	-0.0111085337848293	-0.00690667692955444	-0.0671985359714604	-0.0879319009356361	26
"Algonquin Park, ON, Canada._-78.4_45.5667"	0.0950798613626537	-0.0292167042150158	0.0565059372626612	0.010634830233232	0.100340932469891	0.0316829405764519	-0.0250805640141306	0.0322862483259421	-0.0445669894713959	-0.0286718883523223	-0.107560263196779	26
"Allegan, MI._-86.0074_42.5492"	-0.0848505827172125	-0.0922590300163384	-0.013311287166678	-0.0228543130948745	-0.00997001781140527	-0.0370113394338861	0.051680540014907	-0.0751260303921632	0.0345661142304514	0.0301785349906012	-0.0543223582791531	26
"Allen Co._-85.0833_41.2167"	-0.157568983560499	-0.127862318383567	0.128937668249688	0.0158866034503774	0.226887038817378	0.0868298776429494	-0.00763714740275038	0.0702766310329663	0.00285049074709452	-0.112680306267229	-0.262283004886585	26
"Alva, FL._-81.6726_26.7153"	-0.0588260267038308	-0.0646347737794338	0.0354786986330558	-0.0170791706357147	0.0243034903230144	-0.0182333847622311	-0.0345097619405548	-0.029339847619233	-0.00941349366093687	0.0560207759957671	-0.0259681569656915	26
"Anchorage, AK._-149.7773_61.1642"	-0.0769214758054879	-0.0625333552607211	-0.0192176246159535	0.0229456139429702	0.042082663021205	0.0502462173346341	0.227542113907821	-0.0782305938956828	0.10743575263015	0.00803348146579822	-0.0937138131348614	26
"Ann Arbor City, MI._-83.7066_42.2805"	-0.0444522314229034	-0.0556850869317063	0.00100391033561954	-0.0466155519648643	0.0106507901555381	-0.0258807364514017	0.00327274746831856	-0.0351947406283902	0.00953135301115233	-0.0106817014584383	-0.0269597360773745	26
"Annutteliga Hammock_-82.452_28.73"	0.122863257348524	-0.0130282667071463	0.0254656186486572	0.0244940146665147	-0.0967787174330357	-0.0074948993700461	-0.0717095801379905	0.163141225042915	-0.199248341539883	0.196068190260579	0.177676744002201	26
"Archer, FL._-82.3392_29.6667"	0.000531696098405068	-0.0564230348614912	0.0108838392449018	-0.035776493059206	0.0075382270113192	-0.0235831012825517	-0.0175199597447318	0.0208823815430813	-0.0136171376692585	0.0267445532165294	-0.0142309826905608	26
"Arkansas City, KS._-97.0385_37.0412"	0.0520709301772887	0.0388844738435697	0.281519074001137	0.104553922423282	0.0230152065816789	-0.00597229085967128	-0.151427645386186	0.0823346003761985	-0.30469480220679	0.136986184756341	-0.00672756283970165	26
"Ashland Co._-82.3393_40.7191"	-0.00988580590783601	-0.160049484695934	-0.106001128769582	-0.192127900385184	-0.0175580440504947	-0.104410658740845	-0.00462903956654756	-0.0266340425034407	0.0973251416618416	0.0657428931493728	-0.0668902095445209	26
"Atascosa Highlands, AZ._-111.16_31.48"	0.215053932336562	-0.107226973747893	-0.00679954596560657	-0.0157162161307815	-0.21700003513799	-0.23439817454774	-0.0133833696691981	-0.0269346981717781	-0.0645104310785553	0.332718926710739	0.219002816598644	26
"Attwater, TX._-96.2833_29.6833"	-0.0686753701824356	-0.0463092198881401	0.0864145690870094	0.000361536466144623	0.0326866301785295	0.0341689759777299	-0.0720256647882977	-0.081183480463953	0.0868547970071764	-0.128931432700227	-0.0493047904575222	26
"Aullwood Audubon Center and Farm, OH._-84.2754_39.8732"	-0.065340423981716	-0.0734859518060846	0.0378867096704587	-0.0305339234264779	0.0582702469650366	-0.0189175515559298	-0.0146362667364871	0.0229412798611383	-0.0240189664973605	-0.0855392359354851	-0.0680195246240487	26
"Austin, TX._-97.7736_30.321"	-0.116231257780172	-0.0591092041975901	-0.0229296086055655	-0.00140689469144917	0.0285376506506185	0.0426941674760906	0.0818507905848739	-0.0998149698597015	0.128937994825068	-0.151865254655457	-0.0856486792094375	26
"Avoca_-90.4267_43.1829"	0.0219932547856576	0.022065207363005	0.0738248836346809	0.0854305092125228	-0.0212819309107225	-0.0247416657864438	-0.0866018529229061	-0.135309900614616	-0.0277916148610732	0.172820950547277	0.0269095740976675	26
"Avon Park Air Force Range_-81.3333_27.6167"	0.113519152302827	-0.136832998235476	0.0193459829008334	-0.14757170696892	0.0788716563479742	-0.0903886276333542	0.00803468634570245	0.172891508185694	-0.13453007526655	0.0669981384055055	0.0826524643409316	26
"Baker Ponds, NH._-71.9685_43.8898"	0.144289348817653	0.0238758802388594	0.119678533246273	0.0279692023156053	0.0162497063194642	-0.0643784489863331	-0.139965661184189	0.126290194543716	-0.142110724575316	0.0991334006744233	0.0822067226338966	26
"Bald Mountain Recreation Area, MI._-83.21_42.75"	0.0285314587690879	-0.13228377471749	-0.114414698884733	-0.132285590105144	-0.114579333909281	-0.135261419745628	0.106529151216537	-0.0572526343634205	0.0917600097454995	-0.00183972560311561	0.136694730574034	26
"Baraboo, WI._-89.7387_43.4891"	0.0961992884565696	-0.0626330857492895	0.025018299637698	-0.0825562014215614	-0.039464830938773	-0.0853272198963585	-0.0561770049928194	0.0930154129907609	-0.0812649902151679	0.0422650640061939	0.0653302983093952	26
"Barataria, LA._-90.12_29.72"	-0.172043645685695	-0.100491573117262	0.139278310971984	0.0469387090033878	0.174458672781838	0.0192385611660018	-0.102665976512654	-0.0346670461180119	-0.043758457050995	-0.183709286902667	-0.158610668055389	26
"Barnegat, NJ._-74.2231_39.7533"	-0.079292474485477	-0.0621185955910448	0.10003472712841	0.0242311579812152	0.129810218470808	0.0803675119695741	0.17159238067294	0.0668787925392531	-0.051238478399532	0.0336700926111409	-0.185072948308332	26
"Barnstable_-70.2996_41.7012"	0.0827207783754017	-0.131152334032261	-0.0601631500064004	-0.129153963642733	-0.0443257359935638	-0.10340246120194	-0.020080158608162	-0.0112592702490924	0.0531986826126704	-0.246210209246981	0.0617512158449509	26
"Bath Co._-79.8028_38"	0.0673733671440256	-0.0587637044641249	0.0282449809979552	-0.0796613182173085	-0.0392088138163103	-0.0682033630269596	-0.0437858282261268	0.0443809298638492	-0.0333195993724066	0.00262261917618133	0.0698928638363636	26
"Bear Island_-91.9167_47.7833"	-0.0285066745568953	-0.0907409971039853	0.017393546358351	-0.0536410486904757	0.0178619689095378	-0.0781423574349345	0.108996617484108	-0.0776858131307615	0.0355726027753033	-0.0341700657214902	0.0102784097268802	26
"Bear Trap Junction, MN._-92.4833_46.8833"	0.0113707134360697	-0.319553737633074	-0.222831171061137	-0.218809044915309	-0.225237955726833	-0.244003115040091	0.198504214063748	-0.252751994938864	0.195930359239091	0.199217801823184	0.0274466179914613	26
"Beardstown, IL._-90.4278_39.9484"	0.0124681201054885	-0.0780830834746504	0.0563793581870257	-0.049817625127645	-0.0192608117331542	-0.0670750722366318	-0.0643399719022799	0.0114723761616797	-0.0514203892076373	0.0608909585485849	-0.0113435172008604	26
"Beartooth Butte, WY._-109.6_44.93"	0.068666649990454	-0.114660308905489	-0.0583156993915943	-0.122965751611513	-0.0360847743477472	-0.12007932509813	0.0886658610950786	0.0491628190475628	-0.00544790311574592	0.0953873872187686	0.0784278224956127	26
"Beaver Creek Reserve, WI._-91.2701_44.8134"	-0.102167488739617	-0.0579326087193298	0.0875530662332548	0.0648918451172553	0.143086044761484	0.13913469523757	-0.0517817281755902	0.0790351246634949	-0.0518804362316966	-0.0989341417847265	-0.155329162340804	26
"Belleplain, NJ._-74.9333_39.25"	-0.115534679338124	-0.0752066990324487	-0.00204597336527554	-0.0336845605454808	0.0685454033220619	0.00444603816212665	0.0443437051642104	-0.0939578954457167	0.0455817226467391	-0.0509354400534519	-0.0773165870394821	26
"Bemidji, MN._-94.8837_47.4601"	0.0639616261291037	-0.057229667760368	0.0244516990863919	-0.0650638427330211	-0.0362184324197174	-0.0783030472978797	-0.0319770015838527	0.0350851072215498	-0.0546510900365136	0.0624070747270613	0.0526513495610334	26
"Benicia, CA._-122.1847_38.0691"	0.0661662475277489	-0.0205008125109127	0.139136150926452	-0.0583032950907202	0.0252076668605282	-0.0338597967337658	-0.124230711706197	0.11939462769532	-0.272725506520294	0.0236186116185541	-0.0186802005171618	26
"Berkeley, CA._-122.2577_37.872"	-0.0159490838597837	-0.0749285819760717	0.00178363727250031	-0.0712623551549849	0.0124759610080763	-0.0464307867789682	-0.0133743538594192	0.0420942796323796	0.0162138220100831	-0.0331888173922089	-0.0549669002002256	26
"Big Chico Creek Ecological Reserve_-121.7021_39.8445"	0.209896400784423	0.0293623863563153	-0.197628100399157	-0.156403671029334	-0.187369894307094	-0.125618272938673	0.19961537506318	0.0380409767186498	0.18643014241425	0.227566067941496	0.233365756777947	26
"Big Pine Key, FL._-81.3699_24.6908"	0.0203851330651745	-0.0410874696682857	0.00864185058283784	-0.0659931183338077	-0.0364361326882245	-0.0929199447691815	-0.0142134390535927	-0.0492593057528238	-0.0125889116941987	0.134631808105069	0.0358420368633561	26
"Binghamton, NY._-75.9_42.1167"	-0.286090041281627	-0.0322684802407387	0.114617128445488	0.313601650049337	0.480121652200159	0.345901926446228	-0.108717187626295	0.00539476786160052	-0.135161432826326	0.0433805154449156	-0.213671430565572	26
"Blackstone Valley Corridor, MA._-71.6117_42.1243"	-0.115081591944732	-0.0677628585954143	-0.0324219048684812	-0.0673798990400207	0.0457751238849464	0.0161091221820062	0.0383610130501441	-0.0598538158572896	0.0434417032957344	-0.141248838377582	-0.0545272029634371	26
"Blackwater River State Forest, FL._-86.789_30.8505"	-0.0329092784959332	-0.0964035258815725	0.00756286258075036	-0.123716490729908	-0.0951217370172978	-0.165304072161987	-0.0800317244087016	-0.0823251021774118	0.0456908601895347	-0.0456465862359699	0.0675457194414275	26
"Blue Mounds, MN._-96.1127_43.7035"	-0.104916094574212	-0.0662704752254889	0.0558697027228729	-0.0323764601162531	0.00895005268002041	-0.0237231889734013	-0.0512367863413287	-0.0772429095162878	0.00297689152520201	0.104958728239559	-0.063594340849588	26
"Blue Ridge Parkway, VA._-79.0326_37.9609"	0.00485301348272182	-0.085146297597302	-0.0323661622539462	-0.0698983083789024	-0.0318937421694799	-0.0713075463999549	0.0494224923378564	0.00608649908749484	0.0265259112742553	0.0336393201158329	0.0026088661362217	26
"Bluestem, MN._-96.4734_46.8552"	0.101666951580766	-0.053309004048878	-0.0269617830708879	-0.0712054159251895	-0.0437140047469124	-0.0751111585228744	-0.0206495293493086	0.0606825113745946	-0.0474973495563543	0.0508563021276674	0.0476438992769564	26
"Boerne_-98.7833_29.8667"	0.0163887799041984	0.00484650383374754	-0.0931429543563213	-0.0822502354982019	-0.00903215698484615	-0.0294775874299169	0.109354919115948	-0.0282378092065097	0.0233700632611452	0.030458785235997	-0.0050422603865314	26
"Boise Front, ID._-116.144_43.7127"	0.0808614220507518	-0.0727565624654322	-0.0380610486260744	-0.0881743714467026	-0.0759376122589357	-0.0956723693462468	0.000581233382498513	0.0452678423036028	-0.0187065340941155	0.0863481138755029	0.0814093213258855	26
"Bok Tower, FL._-81.6431_27.8646"	-0.0923467144728988	-0.0924439347602482	-0.0481896701604245	-0.0667783322335604	-0.0412687633567112	-0.0366663136982858	0.016808695039012	-0.0837336614901875	0.063445312355401	0.249500060750488	-0.0351384051823117	26
"Bond Swamp National Wildlife Refuge, GA._-83.5765_32.7288"	0.120847293425327	-0.0297934407732958	0.0586267450316543	-0.048849751698602	-0.0267694440745669	-0.0655268113377439	-0.0790908342169555	0.0906393291828174	-0.118637115833411	0.0818361752018402	0.0395284369597901	26
"Bonnet Carre Spillway, LA._-90.4583_30"	-0.0922675532506575	-0.0597127233275805	0.0450831231556303	0.0032865420959823	0.0834553852460927	0.0387742238395446	-0.00344268604853231	-0.0249404318277261	0.00668785437157158	-0.0425132455606117	-0.0919094158308323	26
"Boone County, IN._-86.25_39.95"	-0.144708836645971	-0.121595386002839	0.0171585415424296	-0.0019766738245649	0.0642490957929747	0.0122689209052176	0.0433845780149599	-0.135272766001454	0.014142115815077	0.0110141698000508	-0.10372981823407	26
"Borrego Springs, CA._-116.37_33.25"	-0.10585740839676	-0.223114632259123	-0.100925370355797	-0.117904402676682	-0.0320456166005205	-0.133258069105784	0.115279335198715	-0.130894354349577	0.116246276328497	0.0119143636073323	0.0938481792894961	26
"Boyce Thompson Arboretum_-111.0946_33.295"	0.00712249997300925	0.0275829806343567	-0.206832059791221	0.0806068918830456	-0.186448124378195	-0.157131326586311	0.0359584594365578	-0.126479245214544	0.174703761949814	-0.115326896429433	0.204747553108944	26
"Brazos Bend, TX._-95.6688_29.3734"	0.0204258300472127	-0.0646986204033915	-0.0429522777865775	-0.0469885040441401	0.00418613809952189	-0.031612817970865	0.0526238020658191	-0.00593741869644408	0.0409490876169742	0.015467682283487	-0.00132849116687363	26
"Brazos Valley, TX._-96.0502_29.9008"	-0.00322934718592564	-0.0831150186815273	-0.00201863945991676	-0.0887166904464676	-0.0311568247420765	-0.100795129486569	-0.0715585679337668	-0.0609459133202506	0.0427915366589652	0.0954654063060472	0.0393834282165507	26
"Brevard Co. South_-80.5012_27.8803"	0.0386908342652322	-0.12299504739966	-0.0749072279609468	-0.0632604109024493	0.00538517074463429	-0.0216583726996956	0.0768915231201551	0.00240425121570363	0.0551333940813503	0.0308041307908588	-0.0235163375631494	26
"Brewster, MA._-70.0167_41.7833"	0.210993159992477	0.0205119018973509	0.266667911296873	-0.0901541306648681	-0.092332711767402	-0.126184476769285	-0.260395871881864	0.196345913320057	-0.292382256503461	0.0970235024946727	0.152253680815462	26
"Bristol Co._-70.9679_41.6326"	0.0436881065068525	-0.0818886719599037	-0.0722659670996599	-0.0780334985054816	-0.0320458323499829	-0.0727575930494762	0.0724592424015248	-0.0258817232085238	0.0517836880195277	0.03988752783427	0.0333950446727032	26
"Bronx/Manhattan Counties, NY._-73.9_40.86"	-0.0895097349008908	-0.14091220817528	-0.122866246463962	-0.102574422197173	-0.00418104522752977	-0.0961539850394009	0.1242873119463	-0.0744001274662693	0.113828480260309	0.00905660634841932	0.0319093483534516	26
"Broward Co. North_-80.157_26.2313"	0.133430009001928	-0.0557588387007596	-0.136537639848231	-0.126465488724869	-0.118702322915833	-0.131431245058741	0.0918112257824183	-0.119033550286545	0.0665562959870238	0.105407160184703	0.176375708156395	26
"Broward Co. South_-80.3135_26.0634"	0.182759908904756	-0.061224206364609	-0.187525353805842	-0.127454623130442	-0.156546626682119	-0.152251932077446	0.0272976317991147	0.0538644399809294	0.0615668364244961	0.158194390325481	0.179799598094294	26
"Browder Ridge, OR._-122.0855_44.3158"	0.000226094811746805	-0.0533047586626205	0.0463834662563227	-0.0334167219962207	0.0540033127739013	-0.0147348418679632	-0.0344219358022747	0.0315446863594026	-0.0621587215421721	-0.096071964779849	-0.118864895027535	26
"Bryn Mawr, PA._-75.3406_40.0689"	-0.0386420092908246	-0.0806160027924328	-0.014853882251858	-0.0459601160045044	0.035209024903068	-0.0260235226008725	0.0335267211236748	-0.0218068156961093	0.0238493256994158	0.0120583033931324	-0.0305520470822937	26
"Bull Creek, FL._-80.9672_28.0844"	0.137123675763102	0.0673188133515777	0.0427238277496795	-0.0687163479931053	-0.151692175596202	-0.147216543772246	-0.0675086992742569	0.0177327920814679	-0.104129878744508	0.168036958785956	0.182694107136669	26
"Bullfrog Creek, FL._-82.3351_27.77"	0.0763072979522879	-0.0209107764768753	0.15104618151567	-0.0766018467042039	-0.010822742219256	-0.0778499268283555	-0.188738062299082	0.038528657518083	-0.187432086674123	0.095301966783412	0.063527911925968	26
"Calvert County, MD._-76.7_38.61"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Camas National Wildlife Refuge, ID._-112.2643_43.9653"	-0.159839593264554	0.0392644708441782	0.228864367362684	0.022700935816165	0.0821659729046211	0.0877553342726442	-0.109948165387309	-0.0931228461964769	-0.0620407820474558	0.0791489990499137	-0.285838145067454	26
"Cambridge (rare Charitable Research Reserve), ON._-80.355_43.3817"	-0.0494640514660891	-0.0116479087658837	0.18430227565106	0.0142164319418977	0.102499971295089	-0.0023088007673671	-0.201842250006811	0.0380137574223274	-0.127222984505582	-0.0473596119294038	-0.105904989034813	26
"Cameron Parish, LA._-93.58_29.75"	-0.0743531830863839	-0.0189389730009134	0.0696989948165155	-0.0311604755086702	0.167754199718243	-0.0123635366517842	0.219209361473832	0.069046376460669	0.0260552964533747	-0.121876338514117	-0.0402013859240346	26
"Camp Dundurn, SK, Canada._-106.55_51.9"	0.0936206857077365	-0.0494817446153941	0.0785022588545841	-0.0166901045682603	0.090058610174642	-0.0109466205835371	0.184421616112401	-0.0623217032967287	0.0875094646625913	-0.0879043566064331	-0.0353115033003771	26
"Cape May, NJ._-74.8667_39.0167"	0.0472112513352141	-0.0477257718460564	0.0586759209079918	-0.0177718748423078	-0.00743117779455699	-0.0529769171953069	-0.055190594460496	0.0606563102063445	-0.0588016266799283	0.0565714382703605	-0.0265627022683135	26
"Carlton County, MN._-92.34_46.64"	0.103493048576247	-0.0636278245064248	0.109403961013269	0.00326676443504609	0.143076622112844	-0.0976221751442621	-0.113155992668535	0.227640838691692	-0.195249441247539	-0.0359245794603769	-0.0408928064134243	26
"Catahoula Butterfly Garden_-92.4697_31.5119"	0.121994768584333	-0.137088344338009	0.111221428956764	0.20514748224021	-0.0587285552353578	-0.116607352991138	-0.0808465665349965	0.0354751605550257	-0.153834216496302	0.189772019431893	0.131691734327165	26
"Catoosa-Whitfield, GA._-85.0056_34.8749"	-0.0719348429403766	-0.0915857273521988	-0.0237253585843726	-0.0906879603383492	-0.0285628500842084	0.0107097574096973	-0.00947218215711352	-0.12723500459636	0.0586897205512701	0.0726362221618186	-0.000278674639524175	26
"Central Berkshire Co._-73.2537_42.4086"	0.015390712841998	-0.0588174620636668	0.0581679154868464	-0.016553432677553	0.0293590150323547	-0.0334092217018694	-0.0401670096250189	0.0440502234381868	-0.0687437930438441	-0.012931470871609	-0.0418823004111725	26
"Central Franklin Co._-72.5097_42.5795"	-0.0166176718052893	-0.0820988480244356	-0.0391363676222417	-0.0642347470549544	0.00040069817975456	-0.0529913785473748	0.0441028431952498	-0.0265609753126391	0.0394376336723046	-0.0150426384326982	0.0272543588785796	26
"Central Savannah River Valley_-81.9261_33.3756"	0.082127972049292	-0.0425375309885351	-0.0490312622571781	-0.0974749497737321	-0.058861669164126	-0.0911772762270327	-0.065367983053645	-0.0866598334739023	-0.00489674837656366	-0.00512089365886189	0.0825341898149089	26
"Central Suffolk Co._-72.7536_40.8627"	-0.057999682800073	-0.0362294860425603	0.0103993705347525	-0.0237825719068653	0.063964500161711	0.0223081179177621	-0.0439742785210757	0.0571624652854673	0.0217311051667954	0.00799898313297702	-0.153617553114373	26
"Charleston - East, SC._-79.88_32.86"	0.106501775448861	-0.0964008366883794	0.134595499426345	-0.107485137572216	-0.0284127431626582	-0.12895533189704	-0.184694188202572	0.0996095649906029	-0.109800613119438	0.000696365200497672	-0.0274058627175311	26
"Charleston - South, SC._-80.1_32.72"	0.049601945720332	-0.120977386395136	-0.00957588466996164	-0.126351237519263	0.177683040783887	-0.0352113062463527	-0.150291668181773	0.140796478199999	-0.102338996226119	0.00294739703255911	-0.154141026690549	26
"Chatfield Nature Preserve, CO._-105.17_39.88"	0.0444492043493646	-0.177658919794286	-0.0664407616326207	-0.148020536759236	-0.138679400138121	-0.200789153327916	0.0963388259425395	-0.0603595843464	0.0934624214315934	-0.216140969822824	0.0999529024853641	26
"Chautauqua, NY._-79.1639_42.271"	0.0488900213915911	0.034097984939472	0.0881653704354127	0.0254734479658945	0.192690688643019	0.0921070799596784	-0.0819848705443289	0.138536997844223	-0.0811218248571867	-0.0151790245491246	-0.080432702373047	26
"Chelsea, MI._-84.0204_42.3181"	0.0788666157019042	-0.055235773547558	0.0525804727879548	-0.0798842589723695	-0.0649699371058093	-0.0934210126356484	-0.0729724621565408	0.023639799696519	-0.0971344570990168	0.1259085552314	0.0321151455832436	26
"Chilliwack, BC, Canada._-122.25_49.17"	0.00803524949370179	-0.0348250262521172	0.0699119473721945	-0.0349751185122326	0.00487574853544125	-0.0650850492105893	-0.0335395290533636	-0.0434936411011035	-0.0185594485557693	-0.00782049680906706	0.0134473540540608	26
"Chippokes Plantation State Park, VA._-76.7208_37.1397"	0.112134939066742	-0.0325586857206261	0.0269187425984884	-0.056603165568881	-0.0332464779520153	-0.0678087062599712	-0.0712738159104223	0.0742454521518474	-0.083384238504561	0.0799688570460752	0.0966422933593866	26
"Choctawhatchee Bay Northwest_-86.4974_30.524"	-0.0749032314190341	-0.0516421636710526	0.0824232781993939	0.057385951925505	0.122776835590941	0.0832187221134641	-0.0639613626338895	0.0429890658451121	-0.0577098599885607	-0.143115998592656	-0.0940495283755405	26
"Christmas, FL._-81_28.5"	0.0893892306175544	-0.0705012986525222	-0.0206522341149877	-0.0945626574637409	-0.0896344505244914	-0.169746666060245	-0.0356979306206869	0.0370777254192174	-0.0712749066634155	0.0930918807658353	0.0718434224371799	26
"Chumstick Mtn._-120.4509_47.6507"	-0.0455261370151754	-0.0706443683342329	0.0371794792895708	-0.0158205108247896	0.0552249043231642	-0.00127569682927354	-0.0161331108781744	-0.00780699863701477	0.0121315766232323	-0.00148043414629299	-0.072278683398102	26
"Citrus Co._-82.3755_28.9995"	0.154575105091724	-0.0335834726349011	0.0214705118474895	-0.0783710504259414	-0.0237943060544107	-0.092407854172503	-0.0435108561901082	0.087304301756186	-0.0998261261886488	0.141930896407406	0.135515834552194	26
"Cleveland County Audubon Society, OK._-97.33_35.19"	0.0935558797882499	-0.0963657528847736	0.104069873626343	-0.0756969269187389	-0.00211505675776656	-0.116997886213084	-0.0863331242892215	0.146155699388637	-0.117244203811129	-0.0594203642379751	0.0172066055024068	26
"Cleveland Heights-Holden Arboretum, OH._-81.36_41.69"	0.192832398411374	-0.0987915319202212	-0.152922612269309	-0.201643754182717	-0.178063586671066	-0.213173750818438	0.0611906218266974	0.140989130343983	0.0993278908454377	0.218358965543484	0.199539600247974	26
"Clinton, MS._-90.32_32.33"	0.157936180126939	-0.0551507056510441	-0.0894133727235884	-0.100172488253271	-0.0340246862806298	-0.0650894157500985	-0.00534336202347291	0.105408551802964	0.00325500877048879	-0.136981945372007	0.0398307826110462	26
"Colt Creek_-82.0558_28.3128"	-0.105284879168222	0.0319070263707139	-0.110293353251589	-0.0761790388182896	0.0739687872871917	0.0211252639370048	0.116510892443606	-0.130392686943288	0.0971499657335523	-0.0748587678552561	-0.0539514964111223	26
"Compton Co._-71.75_45.3333"	-0.152332937059727	-0.191887391800089	-0.165697931449301	-0.125098665491444	0.0532688415367415	-0.0684370540563984	0.162931619834489	-0.146892353649961	0.0869261506574641	0.0849450996793418	-0.0373878244985162	26
"Concord, MA._-71.4167_42.4333"	-0.0971009332927039	-0.0713368930505762	0.0167740760268873	0.00319870515467527	0.0692971143805297	0.0363036195664549	0.0336452167701157	-0.0549134685082854	0.0187519075885241	-0.0613531737581799	-0.090328947061236	26
"Conroe, TX._-95.444_30.285"	0.0806240717081651	-0.0598786489730677	0.0729078498353197	-0.0230467688076703	0.018687667218642	-0.0193005856627337	-0.0665775877046632	0.112324275903275	-0.107365105869787	0.00685291996555388	0.0152134849793639	26
"Coral Gables, FL._-80.269_25.7051"	-0.0617782324535556	-0.0837539689768176	-0.0959671697105641	-0.0973062120277615	-0.1459841902767	-0.170702364704396	0.0663318065141712	-0.118516113583895	0.102749774074289	0.089378596457214	0.0761845588751783	26
"Cornucopia, WI._-91.0932_46.8037"	0.100743903989977	-0.0615862918322595	-0.0258832074623913	-0.0589214736465716	0.051235583086487	-0.0210649528813088	0.0232814410221029	0.0930364026029621	-0.00354444119773095	0.0207209433961224	0.0221084848394191	26
"Cosumnes River, CA._-121.4358_38.3503"	0.0114780296785302	-0.0846156087796688	-0.0671354482765835	-0.0732228126148491	-0.0150620841616521	-0.0387221449223782	0.0457020193141677	-0.00430978209901103	0.0593999651504447	-0.0247855519385456	0.0432929905600139	26
"Cottonwood Spring, CA._-115.8173_33.7441"	0.0334376609862959	0.021820416836101	0.035670599672688	0.015081449009942	-0.0110934721054815	-0.0039583382153027	-0.0417407576350995	0.0444947332857497	-0.077824918214164	-0.192738856931251	-0.0273114342339556	26
"Crex Meadows, WI._-92.6062_45.8455"	0.0788262608955007	-0.0776767717362424	-0.0452270548214608	-0.0928607263089339	0.0316797930595899	-0.0321440311189439	0.0230183951242372	0.0992333126074227	-0.0386051227166852	0.0370893211439498	0.000684198162643973	26
"Croatan National Forest, NC._-76.98_34.87"	0.128526980455619	-0.0916018105214528	-0.0241215505734566	-0.086857043278826	-0.102905326766704	-0.128546505777829	0.00486798057048482	-0.0265496854481133	-0.0299543516935495	0.201951564803856	0.165641800342858	26
"Crooked Creek_-92.6167_36.2667"	0.240888657034767	-0.0217684685389894	-0.00423694209653883	0.24405662640653	-0.117016707645427	-0.151154938313627	0.0103163801679948	0.211310592043388	-0.203105206990455	0.249193705458847	0.176326188865292	26
