Site	Lat	Lon	Merge
Aransas National Wildlife Refuge (old), TX.	28.36	-96.8	1
Aransas National Wildlife Refuge, TX.	28.25	-96.87	1
Baytown, TX.	29.75	-94.95	2
Baytown	29.75	-94.95	2
Bentsen-Rio Grande Valley State Park, TX.	26.1915	-98.3125	3
Bentsen-Rio Grande Valley State Park, TX.	26.1915	-98.3135	3
Big Bear, CA.	34.25	-116.8167	4
Big Bear, CA.	34.2432	-116.8249	4
Big Creek Reserve, CA.	36.03	-121.57	5
Big Creek	36.0732	-121.5132	5
Big Oaks National Wildlife Refuge, IN.	38.9333	-85.4167	6
Big Oaks National Wildlife Refuge, IN.	38.9423	-85.4196	6
Brooklyn/Queens Counties, NY.	40.6807	-73.8446	7
Brooklyn/Queens Counties	40.6807	-73.8446	7
Bruce Peninsula National Park	45.2043	-81.5784	8
Bruce Peninsula, ON, Canada.	45.17	-81.42	8
Bryce Canyon, UT.	37.6053	-112.1574	9
Bryce Canyon, UT.	37.6055	-112.1576	9
Busch Conservation Area, MO.	38.7051	-90.74	10
Busch Wildlife Area, MO.	38.67	-90.7	10
Butterfly Valley	39.968	-120.952	11
Butterfly Valley	40.0179	-120.991	11
Cal-Wood Outdoor Learning Center, CO.	40.15	-105.3902	12
Cal-Wood Outdoor Learning Center, CO.	40.145	-105.3916	12
Cal-Wood Outdoor Learning Center, CO.	40.0786	-105.4027	12
Calgary-Centre, AB, Canada.	51.08	-114.06	13
Calgary, AB, Canada.	51.05	-114.08	13
Carden, ON, Canada.	44.6333	-79.05	14
Carden	44.6333	-79.05	14
Central Polk Co.	47.595	-95.3658	15
Central Polk County, MN.	47.6	-95.37	15
Chagrin River Valley, OH.	41.4833	-81.4333	16
Chagrin River Valley, OH.	41.4784	-81.4382	16
Chipinque Park	25.5667	-100.35	17
Chipinque/Estanzuela Parks	25.5704	-100.2687	17
Chippewa Nature Center, MI.	43.62	-84.42	18
Chippewa Nature Center	43.611	-84.4091	18
Clear Creek, ON, Canada	42.5147	-81.7729	19
Clear Creek	42.5147	-81.7729	19
Clermont Co.	39.0452	-84.0839	20
Clermont Co.	39.0755	-84.1427	20
Congaree Swamp, SC.	33.77	-80.75	21
Congaree	33.7667	-80.75	21
Cook Co.	47.8548	-90.3438	22
Cook County, MN. #1	47.87	-90.28	22
Corkscrew Swamp Sanctuary, FL.	26.3667	-81.5167	23
